City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,chibougamau,49.9168,-74.3659,-17.21,78,100,7.2,CA,1738680859
324,kassala,15.451,36.4,35.31,19,0,4.75,SD,1738680860
325,atotonilco el grande,20.2833,-98.6667,15.02,47,0,0.74,MX,1738680861
326,kailua-kona,19.6406,-155.9956,20.71,76,20,3.6,US,1738680619
327,sechura,-5.5569,-80.8222,26.89,55,19,3.46,PE,1738680863
328,barbacoas,1.6715,-78.1398,27.18,82,86,1.88,CO,1738680864
329,ar ruways,24.1103,52.7306,16.42,51,0,3.22,AE,1738680865
330,cozumel,20.5083,-86.9458,26.64,81,66,5.95,MX,1738680825
331,kamyanyets,52.4001,23.81,0.34,98,100,2.38,BY,1738680867
332,kosh-agach,50.0,88.6667,-29.97,98,42,1.69,RU,1738680869
333,kasungu,-13.0333,33.4833,20.73,94,100,1.04,MW,1738680870
334,haradok,55.4624,29.9816,-2.9,72,100,1.43,BY,1738680871
335,arraial do cabo,-22.9661,-42.0278,31.98,65,0,4.12,BR,1738680872
336,northam,51.0333,-4.2167,9.33,88,100,1.79,GB,1738680873
337,colac,-38.3333,143.5833,13.43,78,0,2.49,AU,1738680874
338,gulf shores,30.246,-87.7008,16.68,84,3,0.76,US,1738680875
339,whistler,50.1164,-122.9695,-17.68,92,100,3.68,CA,1738680876
340,klaksvik,62.2266,-6.589,4.18,73,100,6.12,FO,1738680877
341,siwa oasis,29.2041,25.5195,21.58,29,93,4.52,EG,1738680879
342,alofi,-19.0595,-169.9187,24.94,94,20,1.03,NU,1738680880
343,murzuq,25.9155,13.9184,22.3,19,99,4.91,LY,1738680881
344,iskateley,67.6803,53.1512,-10.74,91,99,5.49,RU,1738680882
345,yeppoon,-23.1333,150.7333,25.51,81,97,7.07,AU,1738680883
346,bantay,17.5847,120.3892,24.19,64,100,6.79,PH,1738680884
347,quellon,-43.1167,-73.6167,15.04,69,38,2.03,CL,1738680885
348,nieuw amsterdam,5.8833,-55.0833,26.06,85,79,4.2,SR,1738680886
349,pauini,-7.7136,-66.9764,30.85,52,99,1.51,BR,1738680887
350,pskov,57.8136,28.3496,-5.05,86,75,2.0,RU,1738680889
351,aleksandrovsk,59.158,57.5624,-12.89,84,72,2.59,RU,1738680890
352,nazarovo,56.0064,90.3914,-22.0,100,98,1.57,RU,1738680891
353,unai,-16.3575,-46.9061,26.86,71,100,1.91,BR,1738680892
354,south venice,27.0531,-82.4243,24.43,82,20,0.45,US,1738680893
355,constantia,44.1833,28.65,3.38,50,71,5.63,RO,1738680746
356,zambezi,-13.5432,23.1047,22.92,81,100,2.36,ZM,1738680895
357,mount gambier,-37.8333,140.7667,16.38,59,100,5.35,AU,1738680897
358,tamanrasset,22.785,5.5228,20.95,11,0,2.06,DZ,1738680898
359,puerto deseado,-47.7503,-65.8938,13.75,46,9,3.15,AR,1738680899
360,swan hill,-35.3378,143.5544,24.34,65,8,3.56,AU,1738680900
